2023-08-14 12:46:10,807 INFO    MainThread:83033 [wandb_setup.py:_flush():76] Current SDK version is 0.15.8
2023-08-14 12:46:10,808 INFO    MainThread:83033 [wandb_setup.py:_flush():76] Configure stats pid to 83033
2023-08-14 12:46:10,808 INFO    MainThread:83033 [wandb_setup.py:_flush():76] Loading settings from /Users/xincheng/.config/wandb/settings
2023-08-14 12:46:10,808 INFO    MainThread:83033 [wandb_setup.py:_flush():76] Loading settings from /Users/xincheng/Documents/GitHub/EHR record/wandb/settings
2023-08-14 12:46:10,808 INFO    MainThread:83033 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-08-14 12:46:10,808 INFO    MainThread:83033 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-08-14 12:46:10,808 INFO    MainThread:83033 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-08-14 12:46:10,808 INFO    MainThread:83033 [wandb_init.py:_log_setup():507] Logging user logs to /Users/xincheng/Documents/GitHub/EHR record/wandb/run-20230814_124610-24eithyc/logs/debug.log
2023-08-14 12:46:10,808 INFO    MainThread:83033 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/xincheng/Documents/GitHub/EHR record/wandb/run-20230814_124610-24eithyc/logs/debug-internal.log
2023-08-14 12:46:10,808 INFO    MainThread:83033 [wandb_init.py:_jupyter_setup():453] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x1406a2290>
2023-08-14 12:46:10,809 INFO    MainThread:83033 [wandb_init.py:init():547] calling init triggers
2023-08-14 12:46:10,809 INFO    MainThread:83033 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-08-14 12:46:10,809 INFO    MainThread:83033 [wandb_init.py:init():596] starting backend
2023-08-14 12:46:10,809 INFO    MainThread:83033 [wandb_init.py:init():600] setting up manager
2023-08-14 12:46:10,810 INFO    MainThread:83033 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-08-14 12:46:10,812 INFO    MainThread:83033 [wandb_init.py:init():606] backend started and connected
2023-08-14 12:46:10,817 INFO    MainThread:83033 [wandb_run.py:_label_probe_notebook():1234] probe notebook
2023-08-14 12:46:10,819 INFO    MainThread:83033 [wandb_init.py:init():697] updated telemetry
2023-08-14 12:46:10,848 INFO    MainThread:83033 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2023-08-14 12:46:11,474 INFO    MainThread:83033 [wandb_run.py:_on_init():2180] communicating current version
2023-08-14 12:46:11,885 INFO    MainThread:83033 [wandb_run.py:_on_init():2189] got version response 
2023-08-14 12:46:11,885 INFO    MainThread:83033 [wandb_init.py:init():781] starting run threads in backend
2023-08-14 12:46:14,748 INFO    MainThread:83033 [wandb_run.py:_console_start():2159] atexit reg
2023-08-14 12:46:14,748 INFO    MainThread:83033 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2023-08-14 12:46:14,749 INFO    MainThread:83033 [wandb_run.py:_redirect():2079] Wrapping output streams.
2023-08-14 12:46:14,749 INFO    MainThread:83033 [wandb_run.py:_redirect():2104] Redirects installed.
2023-08-14 12:46:14,750 INFO    MainThread:83033 [wandb_init.py:init():822] run started, returning control to user process
2023-08-14 17:09:19,172 INFO    MainThread:83033 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-08-14 17:09:19,172 INFO    MainThread:83033 [wandb_init.py:_pause_backend():418] pausing backend
2023-08-16 08:30:13,723 INFO    MainThread:83033 [wandb_init.py:_resume_backend():423] resuming backend
2023-08-16 08:30:13,758 INFO    MainThread:83033 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-08-16 08:30:13,758 INFO    MainThread:83033 [wandb_init.py:_pause_backend():418] pausing backend
